Date,Egg Sales,month,year_index
1993-01-01,0.05471124620060791,1,0
1993-01-02,0.10486322188449848,1,0
1993-01-03,0.08662613981762918,1,0
1993-01-04,0.09118541033434652,1,0
1993-01-05,0.07902735562310031,1,0
1993-01-06,0.07446808510638298,1,0
1993-01-07,0.05927051671732522,1,0
1993-01-08,0.08206686930091187,1,0
1993-01-09,0.05015197568389057,1,0
1993-01-10,0.05319148936170212,1,0
1993-01-11,0.14437689969604864,1,0
1993-01-12,0.08206686930091187,1,0
1993-01-13,0.07294832826747721,1,0
1993-01-14,0.03799392097264438,1,0
1993-01-15,0.08510638297872342,1,0
1993-01-16,0.16717325227963528,1,0
1993-01-17,0.08510638297872342,1,0
1993-01-18,0.11094224924012158,1,0
1993-01-19,0.01975683890577508,1,0
1993-01-20,0.11702127659574468,1,0
1993-01-21,0.06990881458966566,1,0
1993-01-22,0.06838905775075987,1,0
1993-01-23,0.09270516717325228,1,0
1993-01-24,0.04407294832826747,1,0
1993-01-25,0.09118541033434652,1,0
1993-01-26,0.12462006079027355,1,0
1993-01-27,0.02279635258358663,1,0
1993-01-28,0.09878419452887538,1,0
1993-01-29,0.07598784194528876,1,0
1993-01-30,0.10790273556231003,1,0
1993-01-31,0.06079027355623101,1,0
1993-02-01,0.08054711246200608,2,0
1993-02-02,0.12310030395136778,2,0
1993-02-03,0.11094224924012158,2,0
1993-02-04,0.10638297872340427,2,0
1993-02-05,0.11246200607902734,2,0
1993-02-06,0.12613981762917933,2,0
1993-02-07,0.09878419452887538,2,0
1993-02-08,0.1474164133738602,2,0
1993-02-09,0.07750759878419453,2,0
1993-02-10,0.030395136778115506,2,0
1993-02-11,0.06990881458966566,2,0
1993-02-12,0.10334346504559272,2,0
1993-02-13,0.07750759878419453,2,0
1993-02-14,0.135258358662614,2,0
1993-02-15,0.09422492401215807,2,0
1993-02-16,0.08054711246200608,2,0
1993-02-17,0.08662613981762918,2,0
1993-02-18,0.09270516717325228,2,0
1993-02-19,0.07142857142857142,2,0
1993-02-20,0.08510638297872342,2,0
1993-02-21,0.01975683890577508,2,0
1993-02-22,0.030395136778115506,2,0
1993-02-23,0.09270516717325228,2,0
1993-02-24,0.024316109422492405,2,0
1993-02-25,0.07142857142857142,2,0
1993-02-26,0.10790273556231003,2,0
1993-02-27,0.07598784194528876,2,0
1993-02-28,0.121580547112462,2,0
1993-03-01,0.10638297872340427,3,0
1993-03-02,0.14437689969604864,3,0
1993-03-03,0.12917933130699089,3,0
1993-03-04,0.06079027355623101,3,0
1993-03-05,0.08358662613981763,3,0
1993-03-06,0.07598784194528876,3,0
1993-03-07,0.12613981762917933,3,0
1993-03-08,0.11246200607902734,3,0
1993-03-09,0.10182370820668693,3,0
1993-03-10,0.05015197568389057,3,0
1993-03-11,0.121580547112462,3,0
1993-03-12,0.04711246200607902,3,0
1993-03-13,0.07142857142857142,3,0
1993-03-14,0.11094224924012158,3,0
1993-03-15,0.05927051671732522,3,0
1993-03-16,0.021276595744680854,3,0
1993-03-17,0.03799392097264438,3,0
1993-03-18,0.10182370820668693,3,0
1993-03-19,0.08206686930091187,3,0
1993-03-20,0.10182370820668693,3,0
1993-03-21,0.10942249240121582,3,0
1993-03-22,0.05015197568389057,3,0
1993-03-23,0.06686930091185411,3,0
1993-03-24,0.12006079027355623,3,0
1993-03-25,0.10942249240121582,3,0
1993-03-26,0.030395136778115506,3,0
1993-03-27,0.08510638297872342,3,0
1993-03-28,0.06079027355623101,3,0
1993-03-29,0.08662613981762918,3,0
1993-03-30,0.10486322188449848,3,0
1993-03-31,0.13069908814589665,3,0
1993-04-01,0.08966565349544073,4,0
1993-04-02,0.15045592705167174,4,0
1993-04-03,0.1276595744680851,4,0
1993-04-04,0.1398176291793313,4,0
1993-04-05,0.14285714285714285,4,0
1993-04-06,0.14285714285714285,4,0
1993-04-07,0.08814589665653497,4,0
1993-04-08,0.15501519756838905,4,0
1993-04-09,0.14437689969604864,4,0
1993-04-10,0.121580547112462,4,0
1993-04-11,0.1519756838905775,4,0
1993-04-12,0.07294832826747721,4,0
1993-04-13,0.14437689969604864,4,0
1993-04-14,0.09574468085106383,4,0
1993-04-15,0.10638297872340427,4,0
1993-04-16,0.05319148936170212,4,0
1993-04-17,0.09878419452887538,4,0
1993-04-18,0.03647416413373861,4,0
1993-04-19,0.1155015197568389,4,0
1993-04-20,0.12462006079027355,4,0
1993-04-21,0.10182370820668693,4,0
1993-04-22,0.07902735562310031,4,0
1993-04-23,0.12006079027355623,4,0
1993-04-24,0.06686930091185411,4,0
1993-04-25,0.13069908814589665,4,0
1993-04-26,0.10030395136778117,4,0
1993-04-27,0.09118541033434652,4,0
1993-04-28,0.06079027355623101,4,0
1993-04-29,0.09422492401215807,4,0
1993-04-30,0.13677811550151975,4,0
1993-05-01,0.08662613981762918,5,0
1993-05-02,0.06231003039513677,5,0
1993-05-03,0.08206686930091187,5,0
1993-05-04,0.07598784194528876,5,0
1993-05-05,0.07446808510638298,5,0
1993-05-06,0.0015197568389057753,5,0
1993-05-07,0.06838905775075987,5,0
1993-05-08,0.07902735562310031,5,0
1993-05-09,0.09422492401215807,5,0
1993-05-10,0.10638297872340427,5,0
1993-05-11,0.09422492401215807,5,0
1993-05-12,0.06079027355623101,5,0
1993-05-13,0.06686930091185411,5,0
1993-05-14,0.06686930091185411,5,0
1993-05-15,0.10182370820668693,5,0
1993-05-16,0.05927051671732522,5,0
1993-05-17,0.03191489361702128,5,0
1993-05-18,0.03495440729483283,5,0
1993-05-19,0.04711246200607902,5,0
1993-05-20,0.05167173252279636,5,0
1993-05-21,0.03647416413373861,5,0
1993-05-22,0.06990881458966566,5,0
1993-05-23,0.04559270516717326,5,0
1993-05-24,0.0,5,0
1993-05-25,0.08662613981762918,5,0
1993-05-26,0.08814589665653497,5,0
1993-05-27,0.03191489361702128,5,0
1993-05-28,0.05015197568389057,5,0
1993-05-29,0.03191489361702128,5,0
1993-05-30,0.08662613981762918,5,0
1993-05-31,0.09726443768996962,5,0
1993-06-01,0.10030395136778117,6,0
1993-06-02,0.08814589665653497,6,0
1993-06-03,0.08206686930091187,6,0
1993-06-04,0.07750759878419453,6,0
1993-06-05,0.06382978723404256,6,0
1993-06-06,0.12006079027355623,6,0
1993-06-07,0.10638297872340427,6,0
1993-06-08,0.10942249240121582,6,0
1993-06-09,0.05167173252279636,6,0
1993-06-10,0.10182370820668693,6,0
1993-06-11,0.09422492401215807,6,0
1993-06-12,0.08510638297872342,6,0
1993-06-13,0.12462006079027355,6,0
1993-06-14,0.05927051671732522,6,0
1993-06-15,0.08966565349544073,6,0
1993-06-16,0.1155015197568389,6,0
1993-06-17,0.06231003039513677,6,0
1993-06-18,0.09270516717325228,6,0
1993-06-19,0.06534954407294832,6,0
1993-06-20,0.12310030395136778,6,0
